id,package,NC,A,I,D
1,org.apache.hadoop.hdfs.server.namenode,152,0.16,0.41,0.43
2,org.apache.hadoop.mapred,144,0.20,0.37,0.43
3,org.apache.hadoop.fs,130,0.27,0.10,0.63
4,org.apache.hadoop.util,104,0.15,0.08,0.77
5,org.apache.hadoop.yarn.api.protocolrecords,100,0.98,0.29,0.27
6,org.apache.hadoop.yarn.api.protocolrecords.impl.pb,98,0.00,0.84,0.16
7,org.apache.hadoop.yarn.api.records,85,0.67,0.07,0.26
8,org.apache.hadoop.hdfs.protocol,76,0.08,0.15,0.77
9,org.apache.hadoop.yarn.server.resourcemanager.webapp.dao,75,0.00,0.66,0.34
10,org.apache.hadoop.tools.rumen,70,0.16,0.62,0.22
11,org.apache.hadoop.hdfs.server.blockmanagement,60,0.13,0.50,0.37
12,org.apache.hadoop.yarn.api.records.impl.pb,59,0.02,0.28,0.70
13,org.apache.hadoop.io,57,0.21,0.07,0.71
14,org.apache.hadoop.hdfs.web.resources,55,0.04,0.66,0.31
15,org.apache.hadoop.hdfs.server.datanode,54,0.09,0.41,0.49
16,org.apache.hadoop.ipc,54,0.35,0.13,0.52
17,org.apache.hadoop.yarn.server.api.protocolrecords,52,0.96,0.30,0.26
18,org.apache.hadoop.yarn.server.api.protocolrecords.impl.pb,51,0.00,0.76,0.24
19,org.apache.hadoop.fs.s3a,49,0.02,0.56,0.42
20,org.apache.hadoop.hdfs,49,0.08,0.14,0.78
21,org.apache.hadoop.mapreduce,49,0.37,0.11,0.52
22,org.apache.hadoop.hdfs.server.protocol,47,0.19,0.23,0.57
23,org.apache.hadoop.fs.azure,46,0.11,0.84,0.05
24,org.apache.hadoop.yarn.server.resourcemanager.scheduler,43,0.30,0.24,0.46
25,org.apache.hadoop.mapred.gridmix,40,0.05,0.65,0.30
26,org.apache.hadoop.security,40,0.10,0.06,0.84
27,org.apache.hadoop.hdfs.server.federation.router,37,0.14,0.57,0.30
28,org.apache.hadoop.yarn.server.resourcemanager.webapp,36,0.03,0.71,0.26
29,org.apache.hadoop.hdfs.server.federation.store.protocol.impl.pb,35,0.00,0.81,0.19
30,org.apache.hadoop.mapred.lib,35,0.09,0.88,0.04
31,org.apache.hadoop.yarn.server.resourcemanager,35,0.14,0.19,0.67
32,org.apache.hadoop.hdfs.protocolPB,34,0.29,0.39,0.32
33,org.apache.hadoop.hdfs.server.federation.store.protocol,34,1.00,0.39,0.39
34,org.apache.hadoop.mapreduce.jobhistory,33,0.06,0.47,0.47
35,org.apache.hadoop.mapreduce.v2.app.job.event,32,0.00,0.53,0.47
36,org.apache.hadoop.yarn.server.federation.store.records,32,0.94,0.30,0.23
37,org.apache.hadoop.mapreduce.lib.input,31,0.10,0.42,0.48
