id,package,NC,A,I,D
1,log4j.core.pattern,55,0.15,0.82,0.04
2,log4j.core.util,51,0.14,0.12,0.75
3,log4j.core.config,37,0.19,0.15,0.66
4,log4j.core.appender,32,0.16,0.51,0.34
5,log4j.core.jackson,28,0,0.83,0.17
6,log4j.core.layout,26,0.23,0.45,0.32
7,log4j.core.appender.rolling.action,24,0.21,0.72,0.07
8,log4j.core.async,24,0.12,0.71,0.16
9,log4j.core.lookup,19,0.21,0.62,0.17
10,log4j.core.appender.rolling,17,0.29,0.83,0.13
11,log4j.core.config.builder.api,16,0.94,0.15,0.09
12,log4j.core.filter,15,0.2,0.62,0.18
13,log4j.core.impl,15,0.07,0.26,0.67
14,log4j.core.jmx,15,0.47,0.57,0.04
15,log4j.core,14,0.71,0.04,0.25
16,log4j.core.config.builder.impl,14,0,0.88,0.12
17,log4j.core.net,14,0.14,0.39,0.47
18,log4j.core.appender.db.jpa.converter,11,0,0.83,0.17
19,log4j.core.config.plugins,11,0,0.05,0.95
20,log4j.core.net.server,11,0.36,0.92,0.28
21,log4j.core.net.ssl,10,0,0.5,0.5
22,log4j.core.config.plugins.visitors,9,0.22,0.53,0.25
23,log4j.core.util.datetime,8,0.38,0,0.62
24,log4j.core.appender.db.jdbc,6,0.17,1,0.17
25,log4j.core.selector,6,0.33,0.55,0.12
26,log4j.core.appender.rewrite,5,0.2,0.83,0.03
27,log4j.core.appender.routing,5,0.2,1,0.2
28,log4j.core.config.plugins.util,5,0,0.26,0.74
29,log4j.core.script,5,0.2,0.36,0.44
30,log4j.core.appender.db.jpa,4,0.5,1,0.5
31,log4j.core.appender.mom.kafka,4,0.25,1,0.25
32,log4j.core.config.plugins.convert,4,0.25,0.75,0
33,log4j.core.config.composite,3,0.33,0.6,0.07
34,log4j.core.config.plugins.processor,3,0,0.33,0.67
35,log4j.core.config.plugins.validation,3,0.33,0.25,0.42
36,log4j.core.config.properties,3,0,1,0
37,log4j.core.net.mom.jms,3,0.33,1,0.33
38,log4j.core.appender.db,2,1,0.33,0.33
39,log4j.core.appender.mom,2,0,0.67,0.33
40,log4j.core.appender.mom.jeromq,2,0,1,0
41,log4j.core.config.json,2,0,0.67,0.33
42,log4j.core.config.xml,2,0,0.67,0.33
43,log4j.core.config.yaml,2,0,1,0
44,log4j.core.osgi,2,0,1,0
45,log4j,1,0,0.01,0.99
46,log4j.core.config.plugins.validation.constraints,1,0,0.07,0.93
47,log4j.core.config.plugins.validation.validators,1,0,0.5,0.5
48,log4j.core.config.status,1,0,0.2,0.8
49,log4j.core.tools,1,0,1,0
